rank,name,username,network_degrees,journo_followers,total_followers,location,site,page_rank,betweenness_centrality,closeness_centrality,score_1,score
21,Taylor Lorenz,TaylorLorenz,2734,2698,246378,Follow me on Instagram!!,NYTimes,0.000593111,0.003885529,0.557127399,2919.575948,1877.823286
22,Jennifer Jacobs,JenniferJJacobs,3138,2915,384810,"Washington, DC",Bloomberg,0.000667585,0.004862877,0.570486425,3288.90705,1858.103496
23,David Axelrod,davidaxelrod,2341,2284,1433960,,NYTimes,0.000497857,0.001943868,0.546228247,3375.721547,1854.899867
24,Philip Rucker,PhilipRucker,2937,2516,717822,"Washington, DC",WashingtonPost,0.00059613,0.00172793,0.563182815,3118.013384,1824.463222
25,Kara Swisher,karaswisher,2311,2218,1443592,"Washington, DC",NYTimes,0.000500297,0.002404008,0.543802893,3285.295685,1795.624869
26,Margaret Sullivan,Sulliview,2881,2657,136464,"New York, NY",WashingtonPost,0.000588588,0.001852878,0.560896671,2777.861616,1752.827578
27,Daniel Dale,ddale8,2786,2582,1224772,Washington DC,CNN,0.000609032,0.004267029,0.560226091,3636.120435,1741.776652
28,Jonathan Swan,jonathanvswan,3111,2668,850908,Washington D.C.,Axios,0.000656201,0.004108396,0.569491653,3424.740848,1734.882528
29,Jonathan Martin,jmartNYT,2724,2455,325737,"The 703, 202, 504 or on the road",NYTimes,0.000550318,0.001407041,0.555404769,2721.561445,1725.052148
30,Ashley Parker,AshleyRParker,2757,2496,443213,,WashingtonPost,0.000552878,0.001196408,0.556092541,2864.753216,1714.118055
31,Jamelle Bouie,jbouie,2390,2356,438277,"Charlottesville, VA",NYTimes,0.000503385,0.001861053,0.54394012,2700.193537,1650.159912
32,Michael Barbaro,mikiebarb,2509,2367,290585,"New York, NY",NYTimes,0.000513048,0.001377214,0.54959865,2596.271565,1636.684411
33,Josh Dawsey,jdawsey1,2672,2420,325948,"202, 212, 843",WashingtonPost,0.000535201,0.001161691,0.553096045,2682.931387,1622.886422
34,Nate Cohn,Nate_Cohn,2320,2245,482966,"New York, NY",NYTimes,0.000484864,0.001643635,0.544132354,2606.419557,1583.888606
35,Glenn Thrush,GlennThrush,2623,2232,338290,,NYTimes,0.000529486,0.001187977,0.553465287,2483.68776,1565.981688
36,Chuck Todd,chucktodd,2212,2118,2133500,"Washington, DC",nbc,0.000476289,0.001874303,0.540340396,3624.251,1551.38509
37,Andrew Kaczynski,KFILE,2780,2574,445337,,CNN,0.000568371,0.001827594,0.558426401,2956.099146,1544.076682
38,Sopan Deb,SopanDeb,2489,2251,175920,"Washington, DC",NYTimes,0.000510537,0.001644276,0.548563625,2382.99864,1525.225855
39,Blake Hounshell,blakehounshell,2975,2192,177522,Washington,NYTimes,0.000599898,0.001889934,0.561247177,2321.709408,1519.983998
40,David Frum,davidfrum,2433,2377,993152,Washington DC; Wellington ON,Atlantic,0.000522744,0.002326794,0.547810793,3163.907435,1517.684448
41,Jodi Kantor,jodikantor,2432,2233,125257,NYC,NYTimes,0.000501294,0.001393616,0.547365644,2326.23296,1497.340491
42,Christiane Amanpour,amanpour,1869,1823,3116888,London,CNN,0.000435999,0.003002762,0.532491578,3717.028941,1475.009377
43,Jane Mayer,JaneMayerNYer,2378,2286,284512,"Washington, DC",NewYorker,0.000489993,0.001358721,0.545647506,2502.798144,1469.810117
44,Glenn Greenwald,ggreenwald,2121,2090,1700000,,substack,0.000483216,0.00371842,0.538881477,3274.333333,1445.369935
45,Nick Confessore,nickconfessore,2263,2150,211448,,NYTimes,0.000449794,0.000612101,0.54006963,2301.537733,1442.484202
46,Ryan Lizza,RyanLizza,2711,2468,292221,D.C. ,Politico,0.000549269,0.001388245,0.556609489,2708.400476,1440.616812
47,Abby Phillip,abbydphillip,2610,2321,722865,"Washington, DC",CNN,0.000542398,0.002007686,0.553806564,2880.256555,1440.245011
48,Matthew Yglesias,mattyglesias,2115,2055,522385,"Washington, DC",NYTimes,0.000440968,0.001294879,0.536894965,2412.833725,1439.254459
49,George Conway,gtconway3d,1863,1780,1856564,,WashingtonPost,0.000395646,0.001169246,0.530943866,2881.561307,1423.140745
50,Seung Min Kim,seungminkim,2248,2153,293821,"Washington, D.C.",WashingtonPost,0.000449011,0.000765805,0.540204979,2363.865538,1403.01912
51,Alexander Burns,alexburnsNYT,2279,2079,224143,New York!,NYTimes,0.000454751,0.000714582,0.540909889,2234.331099,1399.874068
52,Olivia Nuzzi,Olivianuzzi,2724,2374,345826,"Washington, DC",NYMag,0.000560092,0.001840665,0.556782019,2647.663641,1397.98601
53,Jeffrey Goldberg,JeffreyGoldberg,2510,2365,313047,"Washington, D.C.",Atlantic,0.000515768,0.001491727,0.549654709,2611.785385,1367.756761
54,Farhad Manjoo,fmanjoo,2633,1984,195761,"California, USA",NYTimes,0.000543381,0.001715338,0.553209606,2113.463275,1360.053626
55,Jelani Cobb,jelani9,2149,2060,396949,Following the North Star GPS,NewYorker,0.000455701,0.001546421,0.538639089,2332.571647,1330.881069
56,Michael S. Schmidt,nytmike,2109,1972,247277,Washington D.C.,NYTimes,0.000429803,0.000900092,0.538154968,2134.543415,1325.974044
57,Kaitlan Collins,kaitlancollins,2115,2041,1212723,"Washington, D.C.",SanJoseMercuryNews,0.0004572,0.001951066,0.539880255,2866.055881,1324.61129
58,Amanda Gorman,TheAmandaGorman,1760,1748,1596065,"Los Angeles, California",NewYorker,0.000433927,0.004073161,0.529041308,2677.973873,1317.106692
59,Natasha Bertrand,NatashaBertrand,2599,2113,749361,"Washington, DC",CNN,0.000531209,0.001564048,0.552443976,2640.799931,1313.104067
60,Katy Tur,KatyTurNBC,2183,2113,851419,"New York, NY",NBC,0.000460334,0.001442729,0.540204979,2712.682782,1303.428933
61,Taffy Brodesser-Akner,taffyakner,2120,1968,85955,New York,NYTimes,0.000456875,0.001785657,0.53777903,2024.38648,1288.213037
62,Eric Lipton,EricLiptonNYT,2049,1903,181601,"Washington, DC",NYTimes,0.000412242,0.000763627,0.534843409,2018.195568,1258.335363
63,Kevin Roose,kevinroose,2053,1907,157550,California,NYTimes,0.000428302,0.001132501,0.535188675,2007.149283,1256.885021
64,Emily Nussbaum,emilynussbaum,2300,2206,290853,,NewYorker,0.000507209,0.00270135,0.543254677,2419.873906,1256.513817
65,Joy Reid,JoyAnnReid,2199,1717,2103097,USA,MSNBC,0.000479288,0.00213982,0.541807236,2920.672516,1256.362264
66,Adam Serwer,AdamSerwer,2273,2169,360815,"Texas, USA",Atlantic,0.000470899,0.001221778,0.542297954,2429.869245,1246.978691
67,Matt Pearce,mattdpearce,2318,2125,159304,he/him matt.pearce@latimes.com,LATimes,0.000483833,0.001642001,0.542926278,2237.840333,1243.567848
68,Felicia Sonmez,feliciasonmez,2093,1986,101071,"Washington, DC",WashingtonPost,0.000425793,0.00106415,0.534048339,2052.909002,1240.25927
69,Lydia Polgreen,lpolgreen,2334,2218,113336,"New York, NY ",HuffingtonPost,0.000483389,0.001386911,0.543748022,2301.793083,1228.814274
70,David Wasserman,Redistrict,2091,2089,563513,"Washington, DC",NBC,0.000438792,0.001437671,0.536387276,2481.392886,1225.750295
71,Kyle Griffin,kylegriffin1,1969,1873,1285701,"Los Angeles, CA",MSNBC,0.000420701,0.001297172,0.534286612,2675.705991,1215.156356
72,Manu Raju,mkraju,2417,2007,621761,The Capitol,CNN,0.000489506,0.001096782,0.546532938,2422.958109,1210.55901
73,Andrea Mitchell,mitchellreports,1832,1722,1964897,"Washington, DC",NBC,0.000381664,0.000760418,0.52849652,2849.850878,1208.103639
74,Andrew Ross Sorkin,andrewrsorkin,1843,1638,898039,"New York, New York",NYTimes,0.000391769,0.00119188,0.53123174,2128.329294,1200.476199
75,Arianna Huffington,ariannahuff,1650,1552,2800000,,HuffingtonPost,0.000393319,0.002783359,0.526765862,3000.533333,1199.059573
76,Adam Goldman,adamgoldmanNYT,1932,1808,158980,DC,NYTimes,0.000385601,0.000493467,0.531022346,1903.811947,1182.633053
77,Ed Yong,edyong209,2088,2057,374070,At home,Atlantic,0.000458511,0.002551463,0.536494078,2313.48733,1172.370285
78,Jenna Wortham,jennydeluxe,1745,1643,697400,Brooklyn,NYTimes,0.000374506,0.001023771,0.52399988,2024.942733,1153.200931
79,Molly Jong-Fast,MollyJongFast,1929,1852,975088,,DailyBeast,0.000412788,0.001474097,0.533572431,2453.954325,1148.769259
80,Mike Isaac,MikeIsaac,1879,1740,173585,Oakland,NYTimes,0.00039695,0.001047921,0.530029976,1840.6793,1138.720418
81,Joe Scarborough,JoeNBC,1522,1490,2793415,USA ,MSNBC,0.000330595,0.00090474,0.521187172,2877.396117,1138.115416
82,Erik Wemple,ErikWemple,2009,1829,68398,"Washington, D.C.",WashingtonPost,0.000404515,0.000664863,0.533730973,1870.699981,1135.420571
83,Jake Sherman,JakeSherman,2313,1948,346684,Washington,NBC,0.000471058,0.0010797,0.543665735,2173.113477,1120.254094
84,Susan Glasser,sbg1,2220,1992,210473,,CNN,0.000446435,0.000769054,0.540313307,2131.754072,1114.0596
85,Alec Macgillis,AlecMacGillis,2191,1812,89857,"Baltimore via Pittsfield, Mass",NewYorker,0.000442417,0.00100053,0.53777903,1866.273628,1112.680363
86,Anand Giridharadas,AnandWrites,2230,1521,715995,New York,NYTimes,0.000471412,0.001809831,0.542489029,1884.009465,1108.308167
87,C.J. Chivers,cjchivers,2085,1703,73007,chivers@nytimes.com,NYTimes,0.000426702,0.000969305,0.535720724,1744.44364,1108.120202
88,Alexandra Petri,petridishes,1772,1700,189933,,NYTimes,0.000369997,0.000845192,0.526379953,1807.6287,1107.807258
89,Zeke Miller,ZekeJMiller,2332,1931,260538,"Washington, DC",AOL,0.000470083,0.000968008,0.544022489,2098.699626,1096.12361
90,David Leonhardt,DLeonhardt,2145,1972,159615,"Washington, DC",Mic,0.000440083,0.001068764,0.537940082,2076.92026,1089.038248
91,Zeynep Tufekci,zeynep,1898,1891,487776,floating in a most peculiar way,Mic,0.000411944,0.001687416,0.530839262,2198.461472,1085.423355
92,David Folkenflik,davidfolkenflik,2226,1972,114516,"New York, N.Y.",CNN,0.00045154,0.000951901,0.53971804,2047.275184,1084.637662
93,David Corn,DavidCornDC,1870,1745,955926,"Washington, DC",MotherJones,0.000389996,0.000819814,0.53154614,2301.03029,1075.325891
94,Rebecca Traister,rtraister,2071,1934,228482,,NYMag,0.000435485,0.001154269,0.534790331,2081.294729,1073.670399
95,Molly Ball,mollyesque,2293,1923,150142,"Washington, D.C.",time,0.000456953,0.00073075,0.541317405,2019.241022,1067.00184
96,Josh Rogin,joshrogin,1974,1654,275117,"Washington, DC",WashingtonPost,0.000414181,0.001469008,0.5343131,1805.681173,1062.917959
97,Mehdi Hasan,mehdirhasan,1936,1652,1167048,Washington DC,MSNBC,0.000440342,0.002693083,0.535268415,2294.654432,1056.259731
98,Chris Cillizza,ChrisCillizza,2236,1736,643291,"Washington, D.C.",CNN,0.000459055,0.001283604,0.540719924,2108.251059,1039.33157
99,Michael Luo,michaelluo,2056,1708,56232,new york,NewYorker,0.000418829,0.000812274,0.535667472,1740.014752,1038.931507
100,Karen Attiah,KarenAttiah,1970,1608,246730,Texas ,WashingtonPost,0.000412968,0.001265605,0.535481171,1740.24728,1030.93094
101,Sam Stein,samstein,1872,1793,506386,"Washington, D.C.",Politico,0.00037818,0.000523127,0.5295612,2095.650033,1029.639089
102,Jia Tolentino,jiatolentino,1721,1699,172113,,NewYorker,0.000373124,0.001062827,0.523516274,1796.473329,1029.33966
103,Max Fisher,Max_Fisher,1616,1597,135965,,NYTimes,0.000337334,0.000635793,0.520985621,1669.378702,1021.041802
104,Piers Morgan,piersmorgan,917,865,7973960,"London, Newick, LA.",DailyMail,0.000301461,0.004562086,0.505968243,3164.158467,1019.313115
105,Philip Bump,pbump,1671,1641,156933,New York,WashingtonPost,0.000336636,0.000405483,0.524382306,1726.842351,1015.47124
106,Karen Tumulty,ktumulty,1850,1614,189413,"Washington, DC",WashingtonPost,0.000368836,0.000439102,0.527901133,1715.904194,1010.769613
107,Ana Navarro,ananavarro,1556,1474,1862498,"Coral Gables, Fl",CNN,0.000343499,0.001088114,0.523008179,2389.107351,1010.21837
108,Katie Rogers,katierogers,1901,1561,75353,"Washington, DC ",NYTimes,0.000385296,0.000735596,0.532097237,1600.208678,1009.242242
109,Michael Calderone,mlcalderone,2168,1846,79467,"Brooklyn, NY",Politico,0.000433476,0.000665833,0.538827594,1894.898694,1007.849721
110,John Harwood,JohnJHarwood,1856,1747,485481,"Washington, DC",CNN,0.000376305,0.000547389,0.529847576,2029.711769,1000.540788
111,Michael D. Shear,shearm,1691,1563,117247,,NYTimes,0.000335165,0.00027902,0.523211298,1624.085687,1000.511543
112,Anthony Scaramucci,Scaramucci,1717,1601,1026073,"Long Island, NY",CNBC,0.000382352,0.001958015,0.529093252,2148.580958,991.9389913
113,Amy Chozick,amychozick,1717,1556,57464,"New York, NY",NYTimes,0.000344657,0.000399412,0.525712382,1585.804661,991.0113674
114,Hannah Dreier,hannahdreier,1815,1620,55261,"Washington, DC ",WashingtonPost,0.000369271,0.000719324,0.524356794,1649.84094,985.8739045
115,Matt Viser,mviser,1864,1586,112918,"Arlington, VA",WashingtonPost,0.000370749,0.000450332,0.528600203,1645.695983,982.2582127
116,Kenneth P. Vogel,kenvogel,1685,1530,119132,,NYTimes,0.000333671,0.00031737,0.522146676,1590.75732,977.6958367
117,Charles M. Blow,CharlesMBlow,1530,1401,639671,Brooklyn,NYTimes,0.000330659,0.000817645,0.522197274,1699.726357,971.5145106
118,Jack Shafer,jackshafer,1851,1815,82911,"Washington, DC",Politico,0.000377181,0.000659131,0.527952853,1865.161155,971.4757906
119,Kasie Hunt,kasie,1797,1651,641951,"Washington, DC",CNN,0.000363186,0.000422074,0.527694356,2004.287034,964.4371686
120,Jamil Smith,JamilSmith,1828,1730,306901,"Nashville, TN",Vox,0.000382818,0.000801251,0.528211602,1906.979577,960.5474043
121,Sarah Kliff,sarahkliff,1565,1505,154995,"Washington, DC",NYTimes,0.000315464,0.00039386,0.518354633,1582.755825,960.3315225
122,Greg Sargent,ThePlumLineGS,1695,1511,316447,,WashingtonPost,0.000343952,0.000492503,0.523058944,1670.383806,956.829471
123,Gabriel Sherman,gabrielsherman,1899,1749,129295,New York City,VanityFair,0.000385577,0.000592889,0.53228119,1824.378985,951.0212092
124,Jonathan Chait,jonathanchait,1795,1727,209740,"Washington, D.C.",NYMag,0.000366687,0.000594229,0.527384495,1847.740327,942.631311
125,Jenna Johnson,wpjenna,1798,1521,122044,Washington D.C.,WashingtonPost,0.000361165,0.000596391,0.526071632,1582.876308,938.8952331
126,David E. Sanger,SangerNYT,1720,1462,101248,"Washington, DC",NYTimes,0.000343759,0.000363025,0.523567138,1511.341525,934.0463476
127,Aaron Blake,AaronBlake,1941,1491,147703,"Washington, D.C./NoVa",WashingtonPost,0.000388759,0.000666735,0.530238588,1564.408391,931.5548728
128,Annie Karni,anniekarni,1957,1709,146662,"Washington, DC",ChicagoTribune,0.000386745,0.000399377,0.531808425,1792.548453,931.0764838
129,Marc Lacey,marclacey,1743,1462,24091,"New York, NY",NYTimes,0.000350707,0.000458054,0.524663107,1473.740347,924.1647912
130,Ashley Feinberg,ashleyfeinberg,1748,1686,222818,"Brooklyn, NY",Slate,0.000370265,0.000949303,0.526328541,1811.223716,920.344328
131,Jake Silverstein,jakesilverstein,1571,1467,32096,New York City,NYTimes,0.000323915,0.000504541,0.519478938,1482.694944,919.3826382
132,Maureen Dowd,maureendowd,1668,1304,690020,"Washington, DC",NYTimes,0.00034753,0.000684506,0.5256611,1603.928693,917.1509974
133,Max Seddon,maxseddon,1827,1701,90440,moscow!,FinancialTimes,0.000409419,0.002068022,0.530056044,1752.27948,915.21583
134,Ed O'Keefe,edokeefe,1916,1685,120107,"Washington, D.C.",CBS,0.000389903,0.000841129,0.528470606,1752.460098,908.2983106
135,McKay Coppins,mckaycoppins,1905,1663,157246,"Washington, DC",Atlantic,0.00038406,0.000522758,0.530813117,1750.166699,905.8768273
136,Oliver Darcy,oliverdarcy,1824,1659,178202,New York City,CNN,0.00037473,0.000692577,0.530264676,1757.545706,905.8367509
137,Steve Kornacki,SteveKornacki,1610,1559,688897,New York,NBC,0.000337113,0.000641553,0.520557841,1916.996808,904.7286968
138,Anthony De Rosa,Anthony,2026,1506,102687,Signal: 773-658-9986,WallStJournal,0.000423168,0.001322755,0.5351621,1557.548874,901.7223869
139,Clarissa Ward,clarissaward,1666,1593,448502,"here, there and everywhere",CNN,0.000372703,0.001832641,0.525430457,1831.154562,899.5775482
140,Shane Goldmacher,ShaneGoldmacher,1702,1411,73528,"New York, NY",NYTimes,0.000335189,0.00029099,0.523262103,1445.582669,896.844873
141,Matea Gold,mateagold,2028,1444,61602,Washington DC,WashingtonPost,0.000402987,0.00062146,0.531913411,1473.651096,892.3642043
142,Catherine Rampell,crampell,1567,1442,189990,,WashingtonPost,0.000317693,0.000408384,0.519779577,1533.32186,889.2441343
143,Joe Weisenthal,TheStalwart,1642,1540,302844,New York City,Bloomberg,0.000352004,0.00105689,0.522045509,1695.45992,886.7550934
144,Jeff Zeleny,jeffzeleny,1754,1600,308541,"Washington, DC",CNN,0.000350738,0.000368234,0.524739741,1764.5552,882.7579121
145,Helen Rosner,hels,1541,1470,173523,NYC via Chicago,NewYorker,0.000342037,0.001217233,0.518454374,1555.02627,882.1901819
146,Jose A. Del Real,jdelreal,2065,1370,36976,"Washington, D.C. ",NYTimes,0.000410206,0.00061802,0.532912853,1386.885707,881.5078964
147,Ari Melber,AriMelber,2125,1417,921956,"New York, NY",NBC,0.000442265,0.001310619,0.537886387,1852.470551,879.301851
148,Jim Sciutto,jimsciutto,1609,1544,507408,"Washington, DC & New York, NY",CNN,0.000339207,0.000672572,0.524152784,1805.145984,877.7320958
149,Dan Balz,danbalz,1580,1436,118790,"Washington, DC",WashingtonPost,0.00031482,0.000302478,0.520180971,1492.860813,876.0341555
150,Amanda Hess,amandahess,1452,1394,59138,,NYTimes,0.000308078,0.000525553,0.51629363,1421.479457,872.1684655
151,James Fallows,JamesFallows,1666,1615,186173,,Atlantic,0.000346156,0.000700876,0.523567138,1715.223132,871.797697
152,Emily Bell,emilybell,1731,1631,83797,"ÃT: 40.812746,-73.973872",Guardian,0.00038506,0.001560882,0.526534249,1676.557636,870.7711879
153,Jemele Hill,jemelehill,1384,1354,1446056,,Atlantic,0.000340004,0.002347725,0.518105448,2006.653275,870.5863852
154,Clifford Levy,cliffordlevy,1551,1380,39236,New York City,NYTimes,0.000315941,0.000395741,0.521615988,1398.04856,869.4447266
155,Spencer Ackerman,attackerman,1810,1593,179263,"Brooklyn, NY",DailyBeast,0.000374926,0.000800222,0.528548356,1688.188653,867.1334341
156,Betsy Woodruff Swan,woodruffbets,2019,1555,228342,"Washington, DC",Politico,0.000407777,0.000757644,0.534154212,1673.35727,862.2203168
157,Emmanuel Felton,emmanuelfelton,1783,1417,19701,New York via New Orleans,WashingtonPost,0.000396927,0.002548317,0.526534249,1426.305439,860.8311741
158,Shane Harris,shaneharris,1485,1425,102202,"Washington, DC",WashingtonPost,0.000296115,0.000264139,0.515429437,1473.54595,859.0476466
159,Hiroko Tabuchi,HirokoTabuchi,1694,1335,137742,New York,NYTimes,0.000356392,0.000990229,0.523592574,1396.29519,858.0515273
160,Dana Bash,DanaBashCNN,1566,1482,663622,"Washington, D.C.",CNN,0.000325136,0.000461805,0.521262794,1809.829268,857.9540608
161,Anne Barnard,ABarnardNYT,1833,1338,73581,"New York, NY",NYTimes,0.000378079,0.000792883,0.527668521,1370.817126,857.6145159
162,Charlie Warzel,cwarzel,1600,1594,177924,WA,Mic,0.00033349,0.000553588,0.521187172,1688.536952,855.4080755
163,Emily Steel,emilysteel,1839,1328,61758,"New York, NY",NYTimes,0.000380424,0.000839311,0.530056044,1355.338208,853.3917811
164,Mark Leibovich,MarkLeibovich,1435,1360,60519,"Washington, DC",NYTimes,0.000287976,0.000269515,0.51651632,1387.43528,851.4570962
165,Rebecca Ballhaus,rebeccaballhaus,1655,1457,107889,New York,WallStJournal,0.000328627,0.000335777,0.521641234,1509.398091,851.0675584
166,Jill Abramson,JillAbramson,1386,1369,49069,New,NYTimes,0.000285352,0.000340696,0.513856658,1391.39182,851.0674293
167,Charlie Savage,charlie_savage,1502,1350,81658,"Washington, DC",NYTimes,0.000300786,0.000286737,0.516590593,1386.7461,848.2663744
168,Robert Reich,RBReich,1361,1314,1449596,"Berkeley, CA",Guardian,0.000307316,0.001100454,0.518429436,1948.923048,845.7976777
169,Sean Hannity,seanhannity,882,882,5517198,"New York, USA",fox,0.000205772,0.000531703,0.498871947,2504.056212,844.6042276
170,Jonathan Lemire,JonLemire,1749,1539,261575,NYC/Washington,Mic,0.000352234,0.000467699,0.525507316,1673.187975,844.0141406
171,Hallie Jackson,HallieJackson,1644,1473,552985,"Washington, DC",NBC,0.000339107,0.000532232,0.523974405,1744.515635,842.9479202
172,Ellen Barry,EllenBarryNYT,1361,1353,45848,,NYTimes,0.000284821,0.000440672,0.51297618,1373.677448,839.2323488
173,Richard Engel,RichardEngel,1529,1479,536231,,NBC,0.000329002,0.000881073,0.520407027,1743.361883,838.4698837
174,Anne Applebaum,anneapplebaum,1544,1511,373070,"Warsaw, London, Washington",Atlantic,0.000341556,0.001066795,0.521792764,1698.902923,837.4520593
175,Greg Miller,gregpmiller,1508,1372,133500,London,WashingtonPost,0.00030197,0.000257599,0.518678932,1433.054,836.5803874
176,Wolf Blitzer,wolfblitzer,1381,1249,1728016,Washington D.C.,CNN,0.000306457,0.000861231,0.518454374,1968.430661,834.0454997
177,Sheera Frenkel,sheeraf,1442,1328,65879,"Oakland, CA",NYTimes,0.000296804,0.000373064,0.517185543,1357.162437,833.2363159
178,Ron Nixon,nixonron,1709,1325,20380,Washington DC â¢ Johannesburg,NYTimes,0.000357977,0.001113058,0.522171974,1334.001167,833.0735328
179,Dave Itzkoff,ditzkoff,1321,1302,245092,,NYTimes,0.000288288,0.000633705,0.512147383,1408.369928,832.8653194
180,Ben Jacobs,Bencjacobs,1651,1535,193998,"Washington, DC",Guardian,0.000335608,0.000475214,0.524433338,1634.26231,831.0334061
181,Binyamin Appelbaum,BCAppelbaum,1401,1320,111388,"Washington, DC",NYTimes,0.000285712,0.000349084,0.514666422,1369.01072,830.3661156
182,Derek Thompson,DKThomp,1664,1548,145373,"Washington, D.C.",Atlantic,0.000346854,0.00074314,0.523516274,1623.012468,830.038316
183,Tucker Carlson,TuckerCarlson,925,914,4843986,"Washington, DC",Fox,0.000227041,0.000970743,0.501775201,2389.801068,828.8827225
184,Jim Rutenberg,jimrutenberg,1481,1323,37024,East End L.I.-Brooklyn FLYERS!,NYTimes,0.000296614,0.000268436,0.516565833,1339.327584,825.1604797
185,Glenn Kessler,GlennKesslerWP,1404,1358,148226,,WashingtonPost,0.000283408,0.000282805,0.51528158,1425.096969,824.5951971
186,Matt Taibbi,mtaibbi,1545,1429,605100,new jersey,substack,0.000347383,0.001610367,0.523109719,1717.2293,822.9115625
187,Caitlin Dickerson,itscaitlinhd,1556,1314,50728,"New York, NY",NYTimes,0.000311929,0.00031816,0.517260008,1336.218864,822.5113385
188,Steven Dennis,StevenTDennis,2038,1418,166169,"Washington, DC",Bloomberg,0.000414704,0.001022329,0.533942509,1496.542547,817.0040342
189,Susanne Craig,susannecraig,1466,1294,101302,,NYTimes,0.000297096,0.00033049,0.517160726,1337.694929,816.6055562
190,Choire Sicha,Choire,1612,1554,53533,,NYMag,0.000339747,0.000579865,0.519203658,1581.730094,814.0412677
191,Megan Twohey,mega2e,1387,1297,63554,"New York, NY",NYTimes,0.000286043,0.000336812,0.51624417,1324.476513,811.9931799
192,Evan Osnos,eosnos,1564,1362,97068,"Washington, DC",NewYorker,0.000320685,0.0004764,0.520155866,1406.068872,809.9028345
193,Lizzie O Leary,lizzieohreally,2051,1498,66793,new york,Slate,0.000411718,0.000679505,0.5343131,1531.351971,809.3112214
194,Jason Leopold,JasonLeopold,1616,1510,140962,City of Angels,Buzzfeed,0.000331201,0.000539635,0.52196966,1580.950873,806.6912882
195,Rachel Syme,rachsyme,1642,1340,131012,Desert Flower in the Big Apple,NewYorker,0.000366332,0.001293234,0.520985621,1398.518693,802.5349849
196,Michael M. Grynbaum,grynbaum,1406,1285,45248,"New York, NY",NYTimes,0.000284197,0.00026979,0.514764748,1304.381227,799.7533048
197,Alexis Madrigal,alexismadrigal,1572,1488,211718,Oakland Department of Fantics,Atlantic,0.000331924,0.000710442,0.518604058,1593.012128,798.9126962
198,Ryan J. Reilly,ryanjreilly,2034,1454,163616,"Washington, DC",HuffingtonPost,0.000412863,0.000916236,0.533440385,1533.299221,796.7730234
199,Sam Sifton,SamSifton,1312,1255,181197,"Brooklyn, NY",NYTimes,0.000284808,0.00072323,0.511733989,1330.800745,793.945278
